   framework QPS, LOAD, MEM(KB), TIME(ms); functions, include files
    symfony2     1366, 2.44,1711.57, 12.99;    1367, 1.39,1711.57, 13.09;    1368, 0.50,1711.57, 12.28;    1367, 1.44,1711.57, 12.79;    792,   15
          zf      677,13.57,2576.47, 17.56;     680,12.28,2576.47, 20.86;     676, 4.22,2576.47, 22.23;     678,10.02,2576.47, 20.22;   1789,   61
         zf2      325,77.95,4011.02, 29.41;     326,73.03,4011.02, 29.71;     327,72.97,4011.02, 30.93;     326,74.65,4011.02, 30.02;   5620,  124
     cakephp      881, 5.91,2824.26, 14.93;     861, 4.63,2824.26, 14.35;     878, 4.75,2824.26, 14.91;     873, 5.10,2824.26, 14.73;    834,   37
     fuelphp     1425, 2.51,1094.53, 12.57;    1427, 3.43,1094.53, 12.59;    1418, 0.82,1094.53, 12.62;    1423, 2.25,1094.53, 12.59;   1120,   27
          ci     2337, 0.50, 752.55,  7.26;    2309, 2.80, 752.55,  7.07;    2348, 1.64, 752.55,  7.39;    2331, 1.65, 752.55,  7.24;    491,   22
         yii     2337, 1.63,1180.15,  6.62;    2360, 0.47,1180.15,  6.62;    2362, 0.68,1180.15,  6.59;    2353, 0.93,1180.15,  6.61;    269,   19
        slim     2321, 1.87, 699.77,  7.23;    2285, 1.81, 699.77,  7.30;    2316, 0.73, 699.77,  7.13;    2307, 1.47, 699.77,  7.22;    521,   14
     laravel     3129, 1.95, 518.36,  4.47;    3125, 0.53, 518.36,  4.45;    3123, 0.46, 518.36,  4.46;    3126, 0.98, 518.36,  4.46;    238,   26
     colaphp     5940, 0.66, 257.55,  2.22;    5915, 0.41, 257.55,  2.21;    5937, 0.09, 257.55,  2.21;    5931, 0.39, 257.55,  2.21;    111,    9
   micromvc4     6447, 0.02, 176.73,  2.19;    6479, 0.52, 176.73,  2.21;    6492, 0.10, 176.73,  2.25;    6473, 0.21, 176.73,  2.22;    123,   12
         yaf     7334, 0.24,  67.89,  1.29;    7329, 0.02,  67.89,  1.28;    7307, 0.02,  67.89,  1.26;    7323, 0.09,  67.89,  1.28;     18,    4
