   framework QPS, LOAD, MEM(KB), TIME(ms); functions, include files
    symfony2      423,21.25,3884.72, 25.31;     423,14.70,3884.72, 26.20;     423,17.86,3884.72, 27.01;     423,17.94,3884.72, 26.17;   2524,   89
          zf      665, 6.48,2576.47, 19.91;     664, 4.01,2576.47, 19.76;     668, 4.63,2576.47, 19.69;     666, 5.04,2576.47, 19.79;   1789,   61
         zf2      324,66.16,4039.20, 31.55;     324,104.29,4039.20, 31.88;     324,43.93,4039.20, 30.54;     324,71.46,4039.20, 31.32;   5640,  124
     cakephp      875, 1.07,2824.26, 14.93;     863, 0.58,2824.26, 16.22;     869, 3.79,2824.26, 14.16;     869, 1.81,2824.26, 15.10;    834,   37
     fuelphp     1378, 1.88,1094.53,  9.03;    1394, 0.56,1094.53, 12.73;    1366, 0.97,1094.53, 12.66;    1379, 1.14,1094.53, 11.47;   1120,   27
          ci     2262, 0.84, 752.55,  6.82;    2220, 0.27, 752.55,  7.19;    2261, 0.89, 752.55,  7.25;    2248, 0.67, 752.55,  7.09;    491,   22
         yii     2211, 2.78,1180.15,  6.66;    2248, 0.59,1180.15,  6.71;    2208, 0.83,1180.15,  6.62;    2222, 1.40,1180.15,  6.66;    269,   19
        slim     2190, 1.66, 699.77,  7.19;    2196, 2.16, 699.77,  7.32;    2177, 2.75, 699.77,  6.97;    2187, 2.19, 699.77,  7.16;    521,   14
     laravel     2929, 3.33, 518.36,  4.42;    2945, 3.59, 518.36,  4.36;    3009, 1.19, 518.36,  4.41;    2961, 2.70, 518.36,  4.40;    238,   26
     colaphp     5314, 0.54, 257.55,  2.23;    5441, 0.46, 257.55,  2.21;    5432, 0.76, 257.55,  2.20;    5396, 0.59, 257.55,  2.21;    111,    9
   micromvc4     5539, 0.77, 176.73,  2.19;    5598, 0.40, 176.73,  2.22;    5680, 1.01, 176.73,  2.21;    5606, 0.73, 176.73,  2.21;    123,   12
         yaf     6704, 0.02,  67.89,  1.26;    3999, 0.03,  67.89,  1.24;    6409, 0.48,  67.89,  1.28;    5704, 0.18,  67.89,  1.26;     18,    4
